source_id,target_id,relationship_type
CVE-2023-0001,CWE-319,IS_INSTANCE_OF
CVE-2023-0003,CWE-610,IS_INSTANCE_OF
CVE-2023-0005,CWE-312,IS_INSTANCE_OF
CVE-2023-0006,CWE-367,IS_INSTANCE_OF
CVE-2023-0007,CWE-79,IS_INSTANCE_OF
CVE-2023-0008,CWE-610,IS_INSTANCE_OF
CVE-2023-0010,CWE-79,IS_INSTANCE_OF
CVE-2023-0011,CWE-78,IS_INSTANCE_OF
CVE-2023-0012,CWE-284,IS_INSTANCE_OF
CVE-2023-0016,CWE-89,IS_INSTANCE_OF
CVE-2023-0020,CWE-200,IS_INSTANCE_OF
CVE-2023-0027,CWE-200,IS_INSTANCE_OF
CVE-2023-0030,CWE-416,IS_INSTANCE_OF
CVE-2023-0030,CWE-416,IS_INSTANCE_OF
CVE-2023-0035,CWE-294,IS_INSTANCE_OF
CVE-2023-0036,CWE-294,IS_INSTANCE_OF
CVE-2023-0040,CWE-74,IS_INSTANCE_OF
CVE-2023-0041,CWE-613,IS_INSTANCE_OF
CVE-2023-0042,CWE-601,IS_INSTANCE_OF
CVE-2023-0043,CWE-79,IS_INSTANCE_OF
CVE-2023-0044,CWE-79,IS_INSTANCE_OF
CVE-2023-0045,CWE-610,IS_INSTANCE_OF
CVE-2023-0050,CWE-79,IS_INSTANCE_OF
CVE-2023-0052,CWE-306,IS_INSTANCE_OF
CVE-2023-0053,CWE-319,IS_INSTANCE_OF
CVE-2023-0055,CWE-319,IS_INSTANCE_OF
CVE-2023-0056,CWE-400,IS_INSTANCE_OF
CVE-2023-0056,CWE-400,IS_INSTANCE_OF
CVE-2023-0065,CWE-79,IS_INSTANCE_OF
CVE-2023-0067,CWE-79,IS_INSTANCE_OF
CVE-2023-0079,CWE-79,IS_INSTANCE_OF
CVE-2023-0083,CWE-843,IS_INSTANCE_OF
CVE-2023-0088,CWE-352,IS_INSTANCE_OF
CVE-2023-0089,CWE-94,IS_INSTANCE_OF
CVE-2023-0090,CWE-94,IS_INSTANCE_OF
CVE-2023-0091,CWE-863,IS_INSTANCE_OF
CVE-2023-0093,CWE-77,IS_INSTANCE_OF
CVE-2023-0094,CWE-79,IS_INSTANCE_OF
CVE-2023-0097,CWE-79,IS_INSTANCE_OF
CVE-2023-0101,CWE-269,IS_INSTANCE_OF
CVE-2023-0104,CWE-22,IS_INSTANCE_OF
CVE-2023-0105,CWE-287,IS_INSTANCE_OF
CVE-2023-0106,CWE-79,IS_INSTANCE_OF
CVE-2023-0116,CWE-306,IS_INSTANCE_OF
CVE-2023-0117,CWE-287,IS_INSTANCE_OF
CVE-2023-0118,CWE-78,IS_INSTANCE_OF
CVE-2023-0119,CWE-79,IS_INSTANCE_OF
CVE-2023-0121,CWE-770,IS_INSTANCE_OF
CVE-2023-0122,CWE-476,IS_INSTANCE_OF
CVE-2023-0123,CWE-787,IS_INSTANCE_OF
CVE-2023-0124,CWE-787,IS_INSTANCE_OF
CVE-2023-0126,CWE-22,IS_INSTANCE_OF
CVE-2023-0127,CWE-77,IS_INSTANCE_OF
CVE-2023-0128,CWE-416,IS_INSTANCE_OF
CVE-2023-0129,CWE-787,IS_INSTANCE_OF
CVE-2023-0134,CWE-416,IS_INSTANCE_OF
CVE-2023-0135,CWE-416,IS_INSTANCE_OF
CVE-2023-0137,CWE-787,IS_INSTANCE_OF
CVE-2023-0138,CWE-787,IS_INSTANCE_OF
CVE-2023-0139,CWE-20,IS_INSTANCE_OF
CVE-2023-0142,CWE-427,IS_INSTANCE_OF
CVE-2023-0144,CWE-79,IS_INSTANCE_OF
CVE-2023-0151,CWE-79,IS_INSTANCE_OF
CVE-2023-0155,CWE-601,IS_INSTANCE_OF
CVE-2023-0157,CWE-79,IS_INSTANCE_OF
CVE-2023-0160,CWE-667,IS_INSTANCE_OF
CVE-2023-0164,CWE-78,IS_INSTANCE_OF
CVE-2023-0174,CWE-79,IS_INSTANCE_OF
CVE-2023-0179,CWE-190,IS_INSTANCE_OF
CVE-2023-0181,CWE-276,IS_INSTANCE_OF
CVE-2023-0182,CWE-787,IS_INSTANCE_OF
CVE-2023-0183,CWE-787,IS_INSTANCE_OF
CVE-2023-0185,CWE-681,IS_INSTANCE_OF
CVE-2023-0186,CWE-787,IS_INSTANCE_OF
CVE-2023-0187,CWE-125,IS_INSTANCE_OF
CVE-2023-0188,CWE-125,IS_INSTANCE_OF
CVE-2023-0190,CWE-476,IS_INSTANCE_OF
CVE-2023-0191,CWE-787,IS_INSTANCE_OF
CVE-2023-0193,CWE-125,IS_INSTANCE_OF
CVE-2023-0195,CWE-1284,IS_INSTANCE_OF
CVE-2023-0196,CWE-476,IS_INSTANCE_OF
CVE-2023-0197,CWE-476,IS_INSTANCE_OF
CVE-2023-0198,CWE-119,IS_INSTANCE_OF
CVE-2023-0199,CWE-787,IS_INSTANCE_OF
CVE-2023-0200,CWE-787,IS_INSTANCE_OF
CVE-2023-0201,CWE-787,IS_INSTANCE_OF
CVE-2023-0204,CWE-755,IS_INSTANCE_OF
CVE-2023-0207,CWE-732,IS_INSTANCE_OF
CVE-2023-0208,CWE-787,IS_INSTANCE_OF
CVE-2023-0209,CWE-287,IS_INSTANCE_OF
CVE-2023-0210,CWE-787,IS_INSTANCE_OF
CVE-2023-0213,CWE-427,IS_INSTANCE_OF
CVE-2023-0214,CWE-79,IS_INSTANCE_OF
CVE-2023-0215,CWE-416,IS_INSTANCE_OF
CVE-2023-0216,CWE-476,IS_INSTANCE_OF
CVE-2023-0217,CWE-476,IS_INSTANCE_OF
CVE-2023-0219,CWE-79,IS_INSTANCE_OF
CVE-2023-0221,CWE-269,IS_INSTANCE_OF
CVE-2023-0224,CWE-89,IS_INSTANCE_OF
CVE-2023-0225,CWE-732,IS_INSTANCE_OF
CVE-2023-0225,CWE-732,IS_INSTANCE_OF
CVE-2023-0228,CWE-287,IS_INSTANCE_OF
CVE-2023-0231,CWE-79,IS_INSTANCE_OF
CVE-2023-0240,CWE-416,IS_INSTANCE_OF
CVE-2023-0241,CWE-22,IS_INSTANCE_OF
CVE-2023-0242,CWE-862,IS_INSTANCE_OF
CVE-2023-0248,CWE-401,IS_INSTANCE_OF
CVE-2023-0249,CWE-787,IS_INSTANCE_OF
CVE-2023-0250,CWE-121,IS_INSTANCE_OF
CVE-2023-0251,CWE-119,IS_INSTANCE_OF
CVE-2023-0255,CWE-434,IS_INSTANCE_OF
CVE-2023-0257,CWE-434,IS_INSTANCE_OF
CVE-2023-0264,CWE-287,IS_INSTANCE_OF
CVE-2023-0265,CWE-434,IS_INSTANCE_OF
CVE-2023-0266,CWE-416,IS_INSTANCE_OF
CVE-2023-0280,CWE-79,IS_INSTANCE_OF
CVE-2023-0284,CWE-20,IS_INSTANCE_OF
CVE-2023-0285,CWE-79,IS_INSTANCE_OF
CVE-2023-0286,CWE-843,IS_INSTANCE_OF
CVE-2023-0290,CWE-22,IS_INSTANCE_OF
CVE-2023-0299,CWE-20,IS_INSTANCE_OF
CVE-2023-0302,CWE-74,IS_INSTANCE_OF
CVE-2023-0308,CWE-79,IS_INSTANCE_OF
CVE-2023-0313,CWE-79,IS_INSTANCE_OF
CVE-2023-0319,CWE-863,IS_INSTANCE_OF
CVE-2023-0321,CWE-200,IS_INSTANCE_OF
CVE-2023-0322,CWE-79,IS_INSTANCE_OF
CVE-2023-0325,CWE-79,IS_INSTANCE_OF
CVE-2023-0330,CWE-787,IS_INSTANCE_OF
CVE-2023-0335,CWE-352,IS_INSTANCE_OF
CVE-2023-0335,CWE-862,IS_INSTANCE_OF
CVE-2023-0336,CWE-352,IS_INSTANCE_OF
CVE-2023-0336,CWE-862,IS_INSTANCE_OF
CVE-2023-0339,CWE-22,IS_INSTANCE_OF
CVE-2023-0341,CWE-787,IS_INSTANCE_OF
CVE-2023-0343,CWE-330,IS_INSTANCE_OF
CVE-2023-0350,CWE-345,IS_INSTANCE_OF
CVE-2023-0351,CWE-77,IS_INSTANCE_OF
CVE-2023-0357,CWE-79,IS_INSTANCE_OF
CVE-2023-0359,CWE-476,IS_INSTANCE_OF
CVE-2023-0361,CWE-203,IS_INSTANCE_OF
CVE-2023-0363,CWE-79,IS_INSTANCE_OF
CVE-2023-0368,CWE-79,IS_INSTANCE_OF
CVE-2023-0370,CWE-79,IS_INSTANCE_OF
CVE-2023-0373,CWE-79,IS_INSTANCE_OF
CVE-2023-0376,CWE-79,IS_INSTANCE_OF
CVE-2023-0377,CWE-79,IS_INSTANCE_OF
CVE-2023-0382,CWE-400,IS_INSTANCE_OF
CVE-2023-0383,CWE-400,IS_INSTANCE_OF
CVE-2023-0384,CWE-400,IS_INSTANCE_OF
CVE-2023-0386,CWE-282,IS_INSTANCE_OF
CVE-2023-0388,CWE-89,IS_INSTANCE_OF
CVE-2023-0389,CWE-79,IS_INSTANCE_OF
CVE-2023-0391,CWE-798,IS_INSTANCE_OF
CVE-2023-0392,CWE-428,IS_INSTANCE_OF
CVE-2023-0394,CWE-476,IS_INSTANCE_OF
CVE-2023-0396,CWE-125,IS_INSTANCE_OF
CVE-2023-0397,CWE-665,IS_INSTANCE_OF
CVE-2023-0400,CWE-427,IS_INSTANCE_OF
CVE-2023-0401,CWE-476,IS_INSTANCE_OF
CVE-2023-0404,CWE-862,IS_INSTANCE_OF
CVE-2023-0411,CWE-834,IS_INSTANCE_OF
CVE-2023-0412,CWE-404,IS_INSTANCE_OF
CVE-2023-0413,CWE-404,IS_INSTANCE_OF
CVE-2023-0414,CWE-404,IS_INSTANCE_OF
CVE-2023-0415,CWE-404,IS_INSTANCE_OF
CVE-2023-0416,CWE-404,IS_INSTANCE_OF
CVE-2023-0417,CWE-404,IS_INSTANCE_OF
CVE-2023-0428,CWE-79,IS_INSTANCE_OF
CVE-2023-0430,CWE-295,IS_INSTANCE_OF
CVE-2023-0432,CWE-79,IS_INSTANCE_OF
CVE-2023-0434,CWE-20,IS_INSTANCE_OF
CVE-2023-0436,CWE-532,IS_INSTANCE_OF
CVE-2023-0437,CWE-835,IS_INSTANCE_OF
CVE-2023-0448,CWE-79,IS_INSTANCE_OF
CVE-2023-0454,CWE-22,IS_INSTANCE_OF
