source_id,target_id,relationship_type
CWE-89,T1190,LEADS_TO
CWE-79,T1059.007,LEADS_TO
CWE-78,T1059.003,LEADS_TO
CWE-306,T1190,LEADS_TO
CWE-22,T1083,LEADS_TO
CWE-416,T1068,LEADS_TO
CWE-352,T1189,LEADS_TO
CWE-20,T1547.001,LEADS_TO
CWE-125,T1036,LEADS_TO
CWE-200,T1592,LEADS_TO
CWE-787,T1068,LEADS_TO
CWE-119,T1203,LEADS_TO
CWE-287,T1078,LEADS_TO
CWE-476,T1499,LEADS_TO
CWE-434,T1547.001,LEADS_TO
CWE-269,T1068,LEADS_TO
CWE-190,T1497.001,LEADS_TO
CWE-502,T1574.001,LEADS_TO
CWE-94,T1059.001,LEADS_TO
CWE-276,T1222.001,LEADS_TO
CWE-77,T1059.003,LEADS_TO
CWE-918,T1105,LEADS_TO
